# Q_y tabla NEST para RED-100
# Xe NR, rho=2.9 g/cm3, E=218 V/cm
# T_nr[keV]   Qy[e-/keV]
# N_puntos = 2000
1.773462   0.000000
1.775938   0.000000
1.778414   0.000000
1.780890   0.000000
1.783367   0.000000
1.785843   0.000000
1.788319   0.000000
1.790795   0.000000
1.793272   0.000000
1.795748   0.000000
1.798224   0.000000
1.800700   0.000000
1.803177   0.000000
1.805653   0.000000
1.808129   0.000000
1.810605   0.000000
1.813082   0.000000
1.815558   0.000000
1.818034   0.000000
1.820510   0.000000
1.822986   0.000000
1.825463   0.000000
1.827939   0.000000
1.830415   0.000000
1.832891   0.000000
1.835368   0.000000
1.837844   0.000000
1.840320   0.000000
1.842796   0.000000
1.845273   0.000000
1.847749   0.000000
1.850225   0.000000
1.852701   0.000000
1.855178   0.000000
1.857654   0.000000
1.860130   0.000000
1.862606   0.000000
1.865083   0.000000
1.867559   0.000000
1.870035   0.000000
1.872511   0.000000
1.874987   0.000000
1.877464   0.000000
1.879940   0.000000
1.882416   0.000000
1.884892   0.000000
1.887369   0.000000
1.889845   0.000000
1.892321   0.000000
1.894797   0.000000
1.897274   0.000000
1.899750   0.000000
1.902226   0.000000
1.904702   0.000000
1.907179   0.000000
1.909655   0.000000
1.912131   0.000000
1.914607   0.000000
1.917084   0.000000
1.919560   0.000000
1.922036   0.000000
1.924512   0.000000
1.926988   0.000000
1.929465   0.000000
1.931941   0.000000
1.934417   0.000000
1.936893   0.000000
1.939370   0.000000
1.941846   0.000000
1.944322   0.000000
1.946798   0.000000
1.949275   0.000000
1.951751   0.000000
1.954227   0.000000
1.956703   0.000000
1.959180   0.000000
1.961656   0.000000
1.964132   0.000000
1.966608   0.000000
1.969085   0.000000
1.971561   0.000000
1.974037   0.000000
1.976513   0.000000
1.978989   0.000000
1.981466   0.000000
1.983942   0.000000
1.986418   0.000000
1.988894   0.000000
1.991371   0.000000
1.993847   0.000000
1.996323   0.000000
1.998799   0.000000
2.001276   0.000000
2.003752   0.000000
2.006228   0.000000
2.008704   0.000000
2.011181   0.000000
2.013657   0.000000
2.016133   0.000000
2.018609   0.000000
2.021086   0.000000
2.023562   0.000000
2.026038   0.000000
2.028514   0.000000
2.030990   0.000000
2.033467   0.000000
2.035943   0.000000
2.038419   0.000000
2.040895   0.000000
2.043372   0.000000
2.045848   0.000000
2.048324   0.000000
2.050800   0.000000
2.053277   0.000000
2.055753   0.000000
2.058229   0.000000
2.060705   0.000000
2.063182   0.000000
2.065658   0.000000
2.068134   0.000000
2.070610   0.000000
2.073087   0.000000
2.075563   0.000000
2.078039   0.000000
2.080515   0.000000
2.082991   0.000000
2.085468   0.000000
2.087944   0.000000
2.090420   0.000000
2.092896   0.000000
2.095373   0.000000
2.097849   0.000000
2.100325   0.000000
2.102801   0.000000
2.105278   0.000000
2.107754   0.000000
2.110230   0.000000
2.112706   0.000000
2.115183   0.000000
2.117659   0.000000
2.120135   0.000000
2.122611   0.000000
2.125088   0.000000
2.127564   0.000000
2.130040   0.000000
2.132516   0.000000
2.134992   0.000000
2.137469   0.000000
2.139945   0.000000
2.142421   0.000000
2.144897   0.000000
2.147374   0.000000
2.149850   0.000000
2.152326   0.000000
2.154802   0.000000
2.157279   0.000000
2.159755   0.000000
2.162231   0.000000
2.164707   0.000000
2.167184   0.000000
2.169660   0.000000
2.172136   0.000000
2.174612   0.000000
2.177089   0.000000
2.179565   0.000000
2.182041   0.000000
2.184517   0.000000
2.186993   0.000000
2.189470   0.000000
2.191946   0.000000
2.194422   0.000000
2.196898   0.000000
2.199375   0.000000
2.201851   0.000000
2.204327   0.000000
2.206803   0.000000
2.209280   0.000000
2.211756   0.000000
2.214232   0.000000
2.216708   0.000000
2.219185   0.000000
2.221661   0.000000
2.224137   0.000000
2.226613   0.000000
2.229090   0.000000
2.231566   0.000000
2.234042   0.000000
2.236518   0.000000
2.238994   0.000000
2.241471   0.000000
2.243947   0.000000
2.246423   0.000000
2.248899   0.000000
2.251376   0.000000
2.253852   0.000000
2.256328   0.000000
2.258804   0.000000
2.261281   0.000000
2.263757   0.000000
2.266233   0.000000
2.268709   0.000000
2.271186   0.000000
2.273662   0.000000
2.276138   0.000000
2.278614   0.000000
2.281091   0.000000
2.283567   0.000000
2.286043   0.000000
2.288519   0.000000
2.290995   0.000000
2.293472   0.000000
2.295948   0.000000
2.298424   0.000000
2.300900   0.000000
2.303377   0.000000
2.305853   0.000000
2.308329   0.000000
2.310805   0.000000
2.313282   0.000000
2.315758   0.000000
2.318234   0.000000
2.320710   0.000000
2.323187   0.000000
2.325663   0.000000
2.328139   0.000000
2.330615   0.000000
2.333092   0.000000
2.335568   0.000000
2.338044   0.000000
2.340520   0.000000
2.342996   0.000000
2.345473   0.000000
2.347949   0.000000
2.350425   0.000000
2.352901   0.000000
2.355378   0.000000
2.357854   0.000000
2.360330   0.000000
2.362806   0.000000
2.365283   0.000000
2.367759   0.000000
2.370235   0.000000
2.372711   0.000000
2.375188   0.000000
2.377664   0.000000
2.380140   0.000000
2.382616   0.000000
2.385093   0.000000
2.387569   0.000000
2.390045   0.000000
2.392521   0.000000
2.394997   0.000000
2.397474   0.000000
2.399950   0.000000
2.402426   0.000000
2.404902   0.000000
2.407379   0.000000
2.409855   0.000000
2.412331   0.000000
2.414807   0.000000
2.417284   0.000000
2.419760   0.000000
2.422236   0.000000
2.424712   0.000000
2.427189   0.000000
2.429665   0.000000
2.432141   0.000000
2.434617   0.000000
2.437094   0.000000
2.439570   0.000000
2.442046   0.000000
2.444522   0.000000
2.446998   0.000000
2.449475   0.000000
2.451951   0.000000
2.454427   0.000000
2.456903   0.000000
2.459380   0.000000
2.461856   0.000000
2.464332   0.000000
2.466808   0.000000
2.469285   0.000000
2.471761   0.000000
2.474237   0.000000
2.476713   0.000000
2.479190   0.000000
2.481666   0.000000
2.484142   0.000000
2.486618   0.000000
2.489095   0.000000
2.491571   0.000000
2.494047   0.000000
2.496523   0.000000
2.498999   0.000000
2.501476   0.000000
2.503952   0.000000
2.506428   0.000000
2.508904   0.000000
2.511381   0.000000
2.513857   0.000000
2.516333   0.000000
2.518809   0.000000
2.521286   0.000000
2.523762   0.000000
2.526238   0.000000
2.528714   0.000000
2.531191   0.000000
2.533667   0.000000
2.536143   0.000000
2.538619   0.000000
2.541096   0.000000
2.543572   0.000000
2.546048   0.000000
2.548524   0.000000
2.551001   0.000000
2.553477   0.000000
2.555953   0.000000
2.558429   0.000000
2.560905   0.000000
2.563382   0.000000
2.565858   0.000000
2.568334   0.000000
2.570810   0.000000
2.573287   0.000000
2.575763   0.000000
2.578239   0.000000
