# NE_LO   sin2theta_W   A(s)   dchi2
    4    1.350000E-02    5.512286E-02    2.743258E+03
    1    1.366667E-02    5.538926E-02    6.533872E+03
    2    1.366667E-02    5.538926E-02    4.768695E+03
    3    1.366667E-02    5.538926E-02    3.605372E+03
    4    1.366667E-02    5.538926E-02    2.741711E+03
    1    1.383333E-02    5.565630E-02    6.530179E+03
    2    1.383333E-02    5.565630E-02    4.765999E+03
    3    1.383333E-02    5.565630E-02    3.603334E+03
    4    1.383333E-02    5.565630E-02    2.740161E+03
    1    1.400000E-02    5.592399E-02    6.526477E+03
    2    1.400000E-02    5.592399E-02    4.763297E+03
    3    1.400000E-02    5.592399E-02    3.601291E+03
    4    1.400000E-02    5.592399E-02    2.738608E+03
    1    1.416667E-02    5.619231E-02    6.522768E+03
    2    1.416667E-02    5.619231E-02    4.760590E+03
    3    1.416667E-02    5.619231E-02    3.599244E+03
    4    1.416667E-02    5.619231E-02    2.737052E+03
    1    1.433333E-02    5.646128E-02    6.519050E+03
    2    1.433333E-02    5.646128E-02    4.757877E+03
    3    1.433333E-02    5.646128E-02    3.597193E+03
    4    1.433333E-02    5.646128E-02    2.735492E+03
    1    1.450000E-02    5.673090E-02    6.515325E+03
    2    1.450000E-02    5.673090E-02    4.755158E+03
    3    1.450000E-02    5.673090E-02    3.595138E+03
    4    1.450000E-02    5.673090E-02    2.733929E+03
    1    1.466667E-02    5.700115E-02    6.511593E+03
    2    1.466667E-02    5.700115E-02    4.752434E+03
    3    1.466667E-02    5.700115E-02    3.593078E+03
    4    1.466667E-02    5.700115E-02    2.732362E+03
    1    1.483333E-02    5.727205E-02    6.507852E+03
    2    1.483333E-02    5.727205E-02    4.749704E+03
    3    1.483333E-02    5.727205E-02    3.591014E+03
    4    1.483333E-02    5.727205E-02    2.730793E+03
    1    1.500000E-02    5.754358E-02    6.504103E+03
    2    1.500000E-02    5.754358E-02    4.746968E+03
    3    1.500000E-02    5.754358E-02    3.588946E+03
    4    1.500000E-02    5.754358E-02    2.729220E+03
    1    1.516667E-02    5.781576E-02    6.500347E+03
    2    1.516667E-02    5.781576E-02    4.744227E+03
    3    1.516667E-02    5.781576E-02    3.586873E+03
    4    1.516667E-02    5.781576E-02    2.727644E+03
    1    1.533333E-02    5.808859E-02    6.496583E+03
    2    1.533333E-02    5.808859E-02    4.741480E+03
    3    1.533333E-02    5.808859E-02    3.584796E+03
    4    1.533333E-02    5.808859E-02    2.726064E+03
    1    1.550000E-02    5.836205E-02    6.492811E+03
    2    1.550000E-02    5.836205E-02    4.738727E+03
    3    1.550000E-02    5.836205E-02    3.582715E+03
    4    1.550000E-02    5.836205E-02    2.724482E+03
    1    1.566667E-02    5.863616E-02    6.489032E+03
    2    1.566667E-02    5.863616E-02    4.735968E+03
    3    1.566667E-02    5.863616E-02    3.580629E+03
    4    1.566667E-02    5.863616E-02    2.722896E+03
    1    1.583333E-02    5.891091E-02    6.485245E+03
    2    1.583333E-02    5.891091E-02    4.733204E+03
    3    1.583333E-02    5.891091E-02    3.578539E+03
    4    1.583333E-02    5.891091E-02    2.721306E+03
    1    1.600000E-02    5.918630E-02    6.481450E+03
    2    1.600000E-02    5.918630E-02    4.730435E+03
    3    1.600000E-02    5.918630E-02    3.576445E+03
    4    1.600000E-02    5.918630E-02    2.719714E+03
