# EEE =   0.328000   n_T = 800   NE_HI = 30
# T_keV                w_T[ev/(kg dia)]        n_F   p_F                     lambda_creados
  1.245306633292E+00    4.55879504093365E-05      15    5.67504966147959E-01    8.73655966311214E+00
  1.252565707134E+00    4.15521798794984E-05      15    5.72558391426996E-01    8.79075628056058E+00
  1.259824780976E+00    3.78784661396613E-05      15    5.71737893287908E-01    8.84489992357182E+00
  1.267083854819E+00    3.45332939853022E-05      16    5.68483339639646E-01    8.89899126104849E+00
  1.274342928661E+00    3.14862387409616E-05      16    5.68279792962814E-01    8.95303115274749E+00
  1.281602002503E+00    2.87097008869469E-05      16    5.73053111383299E-01    9.00701696195668E+00
  1.288861076345E+00    2.61786600508979E-05      16    5.76026013466511E-01    9.06095495044964E+00
  1.296120150188E+00    2.38704473703629E-05      16    5.68383469229757E-01    9.11483848758599E+00
  1.303379224030E+00    2.17645352405837E-05      16    5.76036197953729E-01    9.16867413933267E+00
  1.310638297872E+00    1.98423434740193E-05      16    5.71197356547005E-01    9.22245661793995E+00
  1.317897371715E+00    1.80870609144419E-05      16    5.68292592017555E-01    9.27619211478173E+00
  1.325156445557E+00    1.64834815684466E-05      16    5.69920207250337E-01    9.32987516838627E+00
  1.332415519399E+00    1.50178543405632E-05      16    5.70856090678602E-01    9.38351072982160E+00
  1.339674593242E+00    1.36777454844997E-05      17    5.70817851339598E-01    9.43709730787409E+00
  1.346933667084E+00    1.24519129120134E-05      17    5.71082687513916E-01    9.49063446323043E+00
  1.354192740926E+00    1.13301915321055E-05      17    5.70367547500285E-01    9.54412431344640E+00
  1.361451814768E+00    1.03033888263035E-05      17    5.72331262227988E-01    9.59756405948538E+00
  1.368710888611E+00    9.36342627851685E-06      17    5.78529872960482E-01    9.65095829393186E+00
  1.375969962453E+00    8.50276804661395E-06      17    5.74957498428968E-01    9.70430403257883E+00
  1.383229036295E+00    7.71433785622540E-06      17    5.69768245327839E-01    9.75760398228163E+00
  1.390488110138E+00    6.99196953176320E-06      17    5.66573544437324E-01    9.81085475329481E+00
  1.397747183980E+00    6.33007591517128E-06      17    5.72007773439256E-01    9.86406146275598E+00
  1.405006257822E+00    5.72359104977520E-06      17    5.72030083890869E-01    9.91722015655716E+00
  1.412265331665E+00    5.16831891824825E-06      17    5.75255524374122E-01    9.97033327024564E+00
  1.419524405507E+00    4.65968484350635E-06      17    5.75968971962835E-01    1.00234013722154E+01
  1.426783479349E+00    4.19384805109235E-06      18    5.68580470957216E-01    1.00764234624283E+01
  1.434042553191E+00    3.76735953101539E-06      18    5.73729794703562E-01    1.01294010529524E+01
  1.441301627034E+00    3.37736710179597E-06      18    5.71930805914204E-01    1.01823325495768E+01
  1.448560700876E+00    3.02079041633210E-06      18    5.71592011434574E-01    1.02352218208987E+01
  1.455819774718E+00    2.69490078805597E-06      18    5.69700701625337E-01    1.02880636811552E+01
  1.463078848561E+00    2.39739365851574E-06      18    5.65336284969772E-01    1.03408648724282E+01
  1.470337922403E+00    2.12626714234326E-06      18    5.74924005826497E-01    1.03936196149269E+01
  1.477596996245E+00    1.87922411532628E-06      18    5.77687874623365E-01    1.04463325687913E+01
  1.484856070088E+00    1.65448001218472E-06      19    5.65291986371052E-01    1.04990003305974E+01
  1.492115143930E+00    1.45057476749708E-06      19    5.69774328660996E-01    1.05516274131054E+01
  1.499374217772E+00    1.26566951578571E-06      19    5.65194575549946E-01    1.06042097916111E+01
  1.506633291615E+00    1.09844586867367E-06      19    5.70160870674076E-01    1.06567505775861E+01
  1.513892365457E+00    9.47672179219853E-07      19    5.67465347549822E-01    1.07092489550575E+01
  1.521151439299E+00    8.11948230622803E-07      19    5.73463712789292E-01    1.07617048845237E+01
  1.528410513141E+00    6.90357670278878E-07      19    5.67580706465936E-01    1.08141195944976E+01
  1.535669586984E+00    5.81725948280533E-07      19    5.70274322840860E-01    1.08664915764398E+01
  1.542928660826E+00    4.85127357298709E-07      19    5.69423663100062E-01    1.09188240822967E+01
  1.550187734668E+00    3.99744135208276E-07      19    5.68668573079532E-01    1.09711133272265E+01
  1.557446808511E+00    3.24629479857937E-07      19    5.74056870336056E-01    1.10233639925786E+01
  1.564705882353E+00    2.59205359072194E-07      19    5.75165439432296E-01    1.10755714763162E+01
  1.571964956195E+00    2.02578315247462E-07      20    5.52770055369532E-01    1.11277392877811E+01
  1.579224030038E+00    1.54276042043501E-07      20    5.67308123652109E-01    1.11798665208319E+01
  1.586483103880E+00    1.13537769235096E-07      20    5.64749650362682E-01    1.12319551888836E+01
  1.593742177722E+00    7.99407081771499E-08      20    5.66844353308884E-01    1.12840020562888E+01
  1.601001251564E+00    5.28434050477662E-08      20    5.70601106955729E-01    1.13360100006666E+01
  1.608260325407E+00    3.18814885926572E-08      20    5.74947795536949E-01    1.13879779210350E+01
  1.615519399249E+00    1.64903853185281E-08      20    5.70690683759223E-01    1.14399077299883E+01
  1.622778473091E+00    6.37778882926440E-09      20    5.71024021938439E-01    1.14917972293164E+01
  1.630037546934E+00    1.04484971485776E-09      21    5.62372698808108E-01    1.15436480663382E+01
  1.637296620776E+00    0.00000000000000E+00      20    5.72801058671272E-01    1.15954610050239E+01
  1.644555694618E+00    0.00000000000000E+00      21    5.67954691450330E-01    1.16472341474478E+01
  1.651814768461E+00    0.00000000000000E+00      21    5.70440370004610E-01    1.16989703020737E+01
  1.659073842303E+00    0.00000000000000E+00      21    5.68418591574778E-01    1.17506676426920E+01
  1.666332916145E+00    0.00000000000000E+00      21    5.64597516041528E-01    1.18023268475370E+01
  1.673591989987E+00    0.00000000000000E+00      21    5.66257478942460E-01    1.18539481387898E+01
  1.680851063830E+00    0.00000000000000E+00      21    5.67865684673639E-01    1.19055329718977E+01
  1.688110137672E+00    0.00000000000000E+00      21    5.71352445763066E-01    1.19570786860414E+01
  1.695369211514E+00    0.00000000000000E+00      21    5.69081300271561E-01    1.20085879719724E+01
  1.702628285357E+00    0.00000000000000E+00      21    5.65978831943012E-01    1.20600599170155E+01
  1.709887359199E+00    0.00000000000000E+00      22    5.63037860605578E-01    1.21114946613267E+01
  1.717146433041E+00    0.00000000000000E+00      22    5.62062327334363E-01    1.21628937740358E+01
  1.724405506884E+00    0.00000000000000E+00      22    5.66355457489659E-01    1.22142547432575E+01
  1.731664580726E+00    0.00000000000000E+00      21    5.71237881122581E-01    1.22655807566991E+01
  1.738923654568E+00    0.00000000000000E+00      22    5.57980126175170E-01    1.23168687319324E+01
  1.746182728411E+00    0.00000000000000E+00      22    5.70942649477129E-01    1.23681215674618E+01
  1.753441802253E+00    0.00000000000000E+00      22    5.63223331486876E-01    1.24193382717185E+01
  1.760700876095E+00    0.00000000000000E+00      22    5.69575823255857E-01    1.24705189453318E+01
  1.767959949937E+00    0.00000000000000E+00      22    5.65126950639146E-01    1.25216647226358E+01
  1.775219023780E+00    0.00000000000000E+00      22    5.59599880158568E-01    1.25727749795100E+01
  1.782478097622E+00    0.00000000000000E+00      22    5.62004117576656E-01    1.26238481312079E+01
  1.789737171464E+00    0.00000000000000E+00      22    5.68525427538829E-01    1.26748881445920E+01
  1.796996245307E+00    0.00000000000000E+00      22    5.66468706487141E-01    1.27258924359687E+01
  1.804255319149E+00    0.00000000000000E+00      23    5.62974249441038E-01    1.27768605617100E+01
  1.811514392991E+00    0.00000000000000E+00      23    5.65725660488861E-01    1.28277947463024E+01
  1.818773466834E+00    0.00000000000000E+00      23    5.63593541150853E-01    1.28786949859478E+01
  1.826032540676E+00    0.00000000000000E+00      23    5.64451244065671E-01    1.29295604566684E+01
  1.833291614518E+00    0.00000000000000E+00      23    5.65449798689824E-01    1.29803902077548E+01
  1.840550688360E+00    0.00000000000000E+00      23    5.58380151574592E-01    1.30311884959737E+01
  1.847809762203E+00    0.00000000000000E+00      23    5.65527440251161E-01    1.30819500294501E+01
  1.855068836045E+00    0.00000000000000E+00      23    5.65642008564586E-01    1.31326791587760E+01
  1.862327909887E+00    0.00000000000000E+00      24    5.58707152246815E-01    1.31833730345716E+01
  1.869586983730E+00    0.00000000000000E+00      23    5.67020472828837E-01    1.32340337278838E+01
  1.876846057572E+00    0.00000000000000E+00      24    5.61204394985854E-01    1.32846615770127E+01
  1.884105131414E+00    0.00000000000000E+00      23    5.69094003334395E-01    1.33352545592009E+01
  1.891364205257E+00    0.00000000000000E+00      24    5.63404738215991E-01    1.33858160571523E+01
  1.898623279099E+00    0.00000000000000E+00      24    5.57892200064974E-01    1.34363432733083E+01
  1.905882352941E+00    0.00000000000000E+00      24    5.66261925628401E-01    1.34868372182004E+01
  1.913141426783E+00    0.00000000000000E+00      24    5.60436015592177E-01    1.35372983934901E+01
  1.920400500626E+00    0.00000000000000E+00      24    5.60692695890195E-01    1.35877261294862E+01
  1.927659574468E+00    0.00000000000000E+00      24    5.58642110537324E-01    1.36381217470693E+01
  1.934918648310E+00    0.00000000000000E+00      24    5.63451151865535E-01    1.36884857109786E+01
  1.942177722153E+00    0.00000000000000E+00      24    5.61952951465509E-01    1.37388168574933E+01
  1.949436795995E+00    0.00000000000000E+00      24    5.65639804707579E-01    1.37891137831197E+01
  1.956695869837E+00    0.00000000000000E+00      24    5.66509919299751E-01    1.38393802789541E+01
  1.963954943680E+00    0.00000000000000E+00      25    5.55714754477068E-01    1.38896138834655E+01
  1.971214017522E+00    0.00000000000000E+00      25    5.59509077565601E-01    1.39398165396086E+01
  1.978473091364E+00    0.00000000000000E+00      25    5.60245309599555E-01    1.39899852766493E+01
  1.985732165207E+00    0.00000000000000E+00      25    5.58737415873535E-01    1.40401234892778E+01
  1.992991239049E+00    0.00000000000000E+00      25    5.63566654507562E-01    1.40902307618960E+01
  2.000250312891E+00    0.00000000000000E+00      25    5.60423179164145E-01    1.41403054244588E+01
  2.007509386733E+00    0.00000000000000E+00      25    5.62514508829870E-01    1.41903488787945E+01
  2.014768460576E+00    0.00000000000000E+00      26    5.53463382911691E-01    1.42403597241687E+01
  2.022027534418E+00    0.00000000000000E+00      26    5.57417178265021E-01    1.42903405623135E+01
  2.029286608260E+00    0.00000000000000E+00      26    5.61009554000127E-01    1.43402902089792E+01
  2.036545682103E+00    0.00000000000000E+00      26    5.62591688632308E-01    1.43902085941358E+01
  2.043804755945E+00    0.00000000000000E+00      26    5.60727420632110E-01    1.44400969012692E+01
  2.051063829787E+00    0.00000000000000E+00      26    5.62081830616661E-01    1.44899533625852E+01
  2.058322903630E+00    0.00000000000000E+00      26    5.56037032343462E-01    1.45397786835206E+01
  2.065581977472E+00    0.00000000000000E+00      26    5.59190786594901E-01    1.45895724970509E+01
  2.072841051314E+00    0.00000000000000E+00      26    5.56643773462591E-01    1.46393374989496E+01
  2.080100125156E+00    0.00000000000000E+00      26    5.60710964299240E-01    1.46890718941149E+01
  2.087359198999E+00    0.00000000000000E+00      27    5.54014423876593E-01    1.47387765364380E+01
  2.094618272841E+00    0.00000000000000E+00      26    5.65923577022126E-01    1.47884497579185E+01
  2.101877346683E+00    0.00000000000000E+00      26    5.60780013352000E-01    1.48380918259144E+01
  2.109136420526E+00    0.00000000000000E+00      26    5.63010387268227E-01    1.48877063887832E+01
  2.116395494368E+00    0.00000000000000E+00      27    5.53324919590166E-01    1.49372882255861E+01
  2.123654568210E+00    0.00000000000000E+00      27    5.53136280061616E-01    1.49868421945238E+01
  2.130913642053E+00    0.00000000000000E+00      27    5.58072071935904E-01    1.50363650861509E+01
  2.138172715895E+00    0.00000000000000E+00      27    5.59134720094460E-01    1.50858577026104E+01
  2.145431789737E+00    0.00000000000000E+00      27    5.58830438196000E-01    1.51353231804475E+01
  2.152690863579E+00    0.00000000000000E+00      27    5.57832546517045E-01    1.51847571621646E+01
  2.159949937422E+00    0.00000000000000E+00      27    5.57078684581582E-01    1.52341613926476E+01
