# sin2theta_W   A(s)   chi2   dchi2
   5.366667E-02     1.611057E-01     1.700253E+01     9.653514E+00
   5.383333E-02     1.615391E-01     1.699247E+01     9.643452E+00
   5.400000E-02     1.619731E-01     1.698240E+01     9.633381E+00
   5.416667E-02     1.624077E-01     1.697232E+01     9.623301E+00
   5.433333E-02     1.628429E-01     1.696223E+01     9.613213E+00
   5.450000E-02     1.632787E-01     1.695213E+01     9.603115E+00
   5.466667E-02     1.637151E-01     1.694202E+01     9.593008E+00
   5.483333E-02     1.641520E-01     1.693191E+01     9.582892E+00
   5.500000E-02     1.645895E-01     1.692178E+01     9.572768E+00
   5.516667E-02     1.650276E-01     1.691165E+01     9.562634E+00
   5.533333E-02     1.654663E-01     1.690151E+01     9.552492E+00
   5.550000E-02     1.659056E-01     1.689136E+01     9.542340E+00
   5.566667E-02     1.663454E-01     1.688120E+01     9.532180E+00
   5.583333E-02     1.667859E-01     1.687103E+01     9.522011E+00
   5.600000E-02     1.672269E-01     1.686085E+01     9.511834E+00
   5.616667E-02     1.676685E-01     1.685066E+01     9.501647E+00
   5.633333E-02     1.681106E-01     1.684047E+01     9.491452E+00
   5.650000E-02     1.685534E-01     1.683026E+01     9.481248E+00
   5.666667E-02     1.689967E-01     1.682005E+01     9.471035E+00
   5.683333E-02     1.694407E-01     1.680983E+01     9.460814E+00
   5.700000E-02     1.698852E-01     1.679960E+01     9.450584E+00
   5.716667E-02     1.703303E-01     1.678936E+01     9.440346E+00
   5.733333E-02     1.707759E-01     1.677911E+01     9.430098E+00
   5.750000E-02     1.712222E-01     1.676886E+01     9.419843E+00
   5.766667E-02     1.716690E-01     1.675859E+01     9.409578E+00
   5.783333E-02     1.721164E-01     1.674832E+01     9.399305E+00
   5.800000E-02     1.725644E-01     1.673804E+01     9.389024E+00
   5.816667E-02     1.730130E-01     1.672775E+01     9.378734E+00
   5.833333E-02     1.734622E-01     1.671745E+01     9.368436E+00
   5.850000E-02     1.739119E-01     1.670714E+01     9.358129E+00
   5.866667E-02     1.743623E-01     1.669683E+01     9.347813E+00
   5.883333E-02     1.748132E-01     1.668651E+01     9.337490E+00
   5.900000E-02     1.752647E-01     1.667617E+01     9.327158E+00
   5.916667E-02     1.757168E-01     1.666583E+01     9.316817E+00
   5.933333E-02     1.761694E-01     1.665548E+01     9.306468E+00
   5.950000E-02     1.766227E-01     1.664513E+01     9.296111E+00
   5.966667E-02     1.770765E-01     1.663476E+01     9.285746E+00
   5.983333E-02     1.775309E-01     1.662439E+01     9.275372E+00
   6.000000E-02     1.779859E-01     1.661401E+01     9.264990E+00
   6.016667E-02     1.784414E-01     1.660362E+01     9.254600E+00
   6.033333E-02     1.788976E-01     1.659322E+01     9.244202E+00
   6.050000E-02     1.793543E-01     1.658281E+01     9.233795E+00
   6.066667E-02     1.798117E-01     1.657240E+01     9.223381E+00
   6.083333E-02     1.802696E-01     1.656197E+01     9.212958E+00
   6.100000E-02     1.807280E-01     1.655154E+01     9.202527E+00
   6.116667E-02     1.811871E-01     1.654110E+01     9.192088E+00
   6.133333E-02     1.816467E-01     1.653066E+01     9.181641E+00
   6.150000E-02     1.821070E-01     1.652020E+01     9.171186E+00
   6.166667E-02     1.825678E-01     1.650974E+01     9.160723E+00
   6.183333E-02     1.830292E-01     1.649927E+01     9.150252E+00
   6.200000E-02     1.834912E-01     1.648879E+01     9.139773E+00
   6.216667E-02     1.839537E-01     1.647830E+01     9.129286E+00
   6.233333E-02     1.844169E-01     1.646781E+01     9.118791E+00
   6.250000E-02     1.848806E-01     1.645730E+01     9.108288E+00
   6.266667E-02     1.853449E-01     1.644679E+01     9.097777E+00
   6.283333E-02     1.858098E-01     1.643627E+01     9.087259E+00
   6.300000E-02     1.862752E-01     1.642575E+01     9.076732E+00
   6.316667E-02     1.867413E-01     1.641521E+01     9.066198E+00
   6.333333E-02     1.872079E-01     1.640467E+01     9.055656E+00
   6.350000E-02     1.876751E-01     1.639412E+01     9.045107E+00
