# EEE =   0.990000   n_T = 800   NE_HI = 30
# T_keV                w_T[ev/(kg dia)]        n_F   p_F                     lambda_creados
  1.203629536921E+00    2.26710756079675E-02      11    8.99059751613646E-01    9.97736305665075E+00
  1.207759699625E+00    2.24195003854383E-02      11    8.99068294462405E-01    1.00083428780791E+01
  1.211889862328E+00    2.21708582546901E-02      11    8.99077690079962E-01    1.00392839623869E+01
  1.216020025031E+00    2.19250439659334E-02      11    8.99087161363700E-01    1.00701865543519E+01
  1.220150187735E+00    2.16823507443361E-02      11    8.99035279853405E-01    1.01010514346350E+01
  1.224280350438E+00    2.14423577412064E-02      11    8.98892268029842E-01    1.01318779255861E+01
  1.228410513141E+00    2.12052549992371E-02      11    8.98749291066157E-01    1.01626677360501E+01
  1.232540675845E+00    2.09709739043038E-02      11    8.98606313633321E-01    1.01934204576367E+01
  1.236670838548E+00    2.07392809768817E-02      11    8.98463302278908E-01    1.02241351451228E+01
  1.240801001252E+00    2.05105598734447E-02      11    8.98320325315222E-01    1.02548132856259E+01
  1.244931163955E+00    2.02843518928155E-02      11    8.98204418481378E-01    1.02854547527477E+01
  1.249061326658E+00    2.00608377232658E-02      11    8.98479548101395E-01    1.03160585423671E+01
  1.253191489362E+00    1.98399698042829E-02      12    8.98813494349995E-01    1.03466274887567E+01
  1.257321652065E+00    1.96215370090932E-02      12    8.99147567972440E-01    1.03771587962005E+01
  1.261451814768E+00    1.94058679267425E-02      12    8.99481691143321E-01    1.04076551060649E+01
  1.265581977472E+00    1.91925392428336E-02      12    8.99815814314202E-01    1.04381152615518E+01
  1.269712140175E+00    1.89817870847622E-02      12    9.00150018141268E-01    1.04685390471332E+01
  1.273842302879E+00    1.87734531174301E-02      12    9.00483141312149E-01    1.04989278217212E+01
  1.277972465582E+00    1.85674750668046E-02      12    9.00816415860735E-01    1.05292797852658E+01
  1.282102628285E+00    1.83640045077073E-02      12    9.01150468310097E-01    1.05595984879275E+01
  1.286232790989E+00    1.81627148717435E-02      12    9.01483591480978E-01    1.05898820646025E+01
  1.290362953692E+00    1.79639516818850E-02      12    9.01816795308045E-01    1.06201297825736E+01
  1.294493116395E+00    1.77673359735750E-02      12    9.02149918478926E-01    1.06503431563485E+01
  1.298623279099E+00    1.75730593905351E-02      12    9.02441251723683E-01    1.06805219327409E+01
  1.302753441802E+00    1.73809954983270E-02      12    9.02019268998244E-01    1.07106668920898E+01
  1.306883604506E+00    1.71910986891378E-02      12    9.01554450619666E-01    1.07407767075684E+01
  1.311013767209E+00    1.70034679414624E-02      12    9.01089225839755E-01    1.07708533450291E+01
