# Templates de respuesta RED-100 (Interpolacion PCHIP)
# Bloques: N_puntos
5000
2.682537E+01 4.084559E-02
2.688538E+01 4.063595E-02
2.694539E+01 4.042773E-02
2.700540E+01 4.022101E-02
2.706541E+01 4.001587E-02
2.712543E+01 3.981238E-02
2.718544E+01 3.961060E-02
2.724545E+01 3.941060E-02
2.730546E+01 3.921245E-02
2.736547E+01 3.901622E-02
2.742549E+01 3.882196E-02
2.748550E+01 3.862937E-02
2.754551E+01 3.843587E-02
2.760552E+01 3.824097E-02
2.766553E+01 3.804470E-02
2.772555E+01 3.784710E-02
2.778556E+01 3.764821E-02
2.784557E+01 3.744806E-02
2.790558E+01 3.724668E-02
2.796559E+01 3.704412E-02
2.802561E+01 3.684041E-02
2.808562E+01 3.663558E-02
2.814563E+01 3.642968E-02
2.820564E+01 3.622272E-02
2.826565E+01 3.601476E-02
2.832567E+01 3.580583E-02
2.838568E+01 3.559595E-02
2.844569E+01 3.538518E-02
2.850570E+01 3.517353E-02
2.856571E+01 3.496105E-02
2.862573E+01 3.474777E-02
2.868574E+01 3.453373E-02
2.874575E+01 3.431895E-02
2.880576E+01 3.410348E-02
2.886577E+01 3.388734E-02
2.892579E+01 3.367058E-02
2.898580E+01 3.345322E-02
2.904581E+01 3.323531E-02
2.910582E+01 3.301686E-02
2.916583E+01 3.279792E-02
2.922585E+01 3.257852E-02
2.928586E+01 3.235868E-02
2.934587E+01 3.213846E-02
2.940588E+01 3.191786E-02
2.946589E+01 3.169694E-02
2.952591E+01 3.147571E-02
2.958592E+01 3.125421E-02
2.964593E+01 3.103248E-02
2.970594E+01 3.081054E-02
2.976595E+01 3.058842E-02
2.982597E+01 3.036616E-02
2.988598E+01 3.014378E-02
2.994599E+01 2.992131E-02
3.000600E+01 2.969879E-02
3.006601E+01 2.947624E-02
3.012603E+01 2.925369E-02
3.018604E+01 2.903118E-02
3.024605E+01 2.880872E-02
3.030606E+01 2.858635E-02
3.036607E+01 2.836410E-02
3.042609E+01 2.814199E-02
3.048610E+01 2.792004E-02
3.054611E+01 2.769830E-02
3.060612E+01 2.747678E-02
3.066613E+01 2.725550E-02
3.072615E+01 2.703451E-02
3.078616E+01 2.681381E-02
3.084617E+01 2.659344E-02
3.090618E+01 2.637342E-02
3.096619E+01 2.615377E-02
3.102621E+01 2.593453E-02
3.108622E+01 2.571570E-02
3.114623E+01 2.549733E-02
3.120624E+01 2.527942E-02
3.126625E+01 2.506201E-02
3.132627E+01 2.484511E-02
3.138628E+01 2.462875E-02
3.144629E+01 2.441295E-02
3.150630E+01 2.419772E-02
3.156631E+01 2.398310E-02
3.162633E+01 2.376910E-02
3.168634E+01 2.355575E-02
3.174635E+01 2.334305E-02
3.180636E+01 2.313104E-02
3.186637E+01 2.291972E-02
3.192639E+01 2.270913E-02
3.198640E+01 2.249927E-02
3.204641E+01 2.229017E-02
3.210642E+01 2.208184E-02
3.216643E+01 2.187431E-02
3.222645E+01 2.166758E-02
3.228646E+01 2.146168E-02
3.234647E+01 2.125662E-02
3.240648E+01 2.105241E-02
3.246649E+01 2.084908E-02
3.252651E+01 2.064663E-02
3.258652E+01 2.044509E-02
3.264653E+01 2.024447E-02
3.270654E+01 2.004477E-02
3.276655E+01 1.984602E-02
3.282657E+01 1.964786E-02
3.288658E+01 1.944855E-02
3.294659E+01 1.924800E-02
3.300660E+01 1.904633E-02
3.306661E+01 1.884365E-02
3.312663E+01 1.864009E-02
3.318664E+01 1.843577E-02
3.324665E+01 1.823079E-02
3.330666E+01 1.802528E-02
3.336667E+01 1.781933E-02
3.342669E+01 1.761306E-02
3.348670E+01 1.740658E-02
3.354671E+01 1.719998E-02
3.360672E+01 1.699337E-02
3.366673E+01 1.678684E-02
3.372675E+01 1.658049E-02
3.378676E+01 1.637441E-02
3.384677E+01 1.616868E-02
3.390678E+01 1.596340E-02
3.396679E+01 1.575866E-02
3.402681E+01 1.555452E-02
3.408682E+01 1.535108E-02
3.414683E+01 1.514840E-02
3.420684E+01 1.494656E-02
3.426685E+01 1.474564E-02
3.432687E+01 1.454570E-02
3.438688E+01 1.434680E-02
3.444689E+01 1.414901E-02
3.450690E+01 1.395239E-02
3.456691E+01 1.375700E-02
3.462693E+01 1.356289E-02
3.468694E+01 1.337012E-02
3.474695E+01 1.317874E-02
3.480696E+01 1.298879E-02
3.486697E+01 1.280033E-02
3.492699E+01 1.261339E-02
3.498700E+01 1.242801E-02
3.504701E+01 1.224424E-02
3.510702E+01 1.206211E-02
3.516703E+01 1.188166E-02
3.522705E+01 1.170292E-02
3.528706E+01 1.152591E-02
3.534707E+01 1.135067E-02
3.540708E+01 1.117722E-02
3.546709E+01 1.100559E-02
3.552711E+01 1.083580E-02
3.558712E+01 1.066786E-02
3.564713E+01 1.050181E-02
3.570714E+01 1.033765E-02
3.576715E+01 1.017539E-02
3.582717E+01 1.001506E-02
3.588718E+01 9.856666E-03
3.594719E+01 9.700214E-03
3.600720E+01 9.545713E-03
3.606721E+01 9.393172E-03
3.612723E+01 9.242596E-03
3.618724E+01 9.093989E-03
3.624725E+01 8.947354E-03
3.630726E+01 8.802692E-03
3.636727E+01 8.660003E-03
3.642729E+01 8.519287E-03
3.648730E+01 8.380542E-03
3.654731E+01 8.243763E-03
3.660732E+01 8.108948E-03
3.666733E+01 7.976089E-03
3.672735E+01 7.845182E-03
3.678736E+01 7.716219E-03
3.684737E+01 7.589191E-03
3.690738E+01 7.464090E-03
3.696739E+01 7.340906E-03
3.702741E+01 7.219628E-03
3.708742E+01 7.100244E-03
3.714743E+01 6.982743E-03
3.720744E+01 6.867112E-03
3.726745E+01 6.753338E-03
3.732747E+01 6.641406E-03
3.738748E+01 6.531303E-03
3.744749E+01 6.423012E-03
3.750750E+01 6.316515E-03
3.756751E+01 6.211491E-03
3.762753E+01 6.107741E-03
3.768754E+01 6.005260E-03
3.774755E+01 5.904043E-03
3.780756E+01 5.804086E-03
3.786757E+01 5.705384E-03
3.792759E+01 5.607931E-03
3.798760E+01 5.511720E-03
3.804761E+01 5.416747E-03
3.810762E+01 5.323005E-03
3.816763E+01 5.230487E-03
3.822765E+01 5.139187E-03
3.828766E+01 5.049099E-03
3.834767E+01 4.960215E-03
3.840768E+01 4.872528E-03
3.846769E+01 4.786031E-03
3.852771E+01 4.700715E-03
3.858772E+01 4.616575E-03
3.864773E+01 4.533601E-03
3.870774E+01 4.451786E-03
3.876775E+01 4.371121E-03
3.882777E+01 4.291598E-03
3.888778E+01 4.213209E-03
3.894779E+01 4.135946E-03
3.900780E+01 4.059799E-03
3.906781E+01 3.984759E-03
3.912783E+01 3.910818E-03
3.918784E+01 3.837967E-03
3.924785E+01 3.766197E-03
3.930786E+01 3.695498E-03
3.936787E+01 3.625861E-03
3.942789E+01 3.557276E-03
3.948790E+01 3.489735E-03
3.954791E+01 3.423227E-03
3.960792E+01 3.357744E-03
3.966793E+01 3.293274E-03
3.972795E+01 3.229809E-03
3.978796E+01 3.167339E-03
3.984797E+01 3.105853E-03
3.990798E+01 3.045342E-03
3.996799E+01 2.985797E-03
4.002801E+01 2.927206E-03
4.008802E+01 2.869560E-03
4.014803E+01 2.812849E-03
4.020804E+01 2.757063E-03
4.026805E+01 2.702191E-03
4.032807E+01 2.648224E-03
4.038808E+01 2.595152E-03
4.044809E+01 2.542964E-03
4.050810E+01 2.491650E-03
4.056811E+01 2.441200E-03
4.062813E+01 2.391604E-03
4.068814E+01 2.342851E-03
4.074815E+01 2.294933E-03
4.080816E+01 2.247838E-03
4.086817E+01 2.201557E-03
4.092819E+01 2.156078E-03
4.098820E+01 2.111394E-03
4.104821E+01 2.067492E-03
4.110822E+01 2.024364E-03
4.116823E+01 1.982000E-03
4.122825E+01 1.940388E-03
4.128826E+01 1.899521E-03
4.134827E+01 1.859387E-03
4.140828E+01 1.819977E-03
4.146829E+01 1.781281E-03
