# NE_LO   sin2theta_W   A(s)   dchi2
    3    9.833333E-03    1.136324E-01    5.615579E+01
    4    9.833333E-03    1.136324E-01    9.544882E+00
    1    1.000000E-02    1.139583E-01    1.663132E+03
    2    1.000000E-02    1.139583E-01    3.225885E+02
    3    1.000000E-02    1.139583E-01    5.611450E+01
    4    1.000000E-02    1.139583E-01    9.537865E+00
    1    1.016667E-02    1.142847E-01    1.661907E+03
    2    1.016667E-02    1.142847E-01    3.223510E+02
    3    1.016667E-02    1.142847E-01    5.607317E+01
    4    1.016667E-02    1.142847E-01    9.530840E+00
    1    1.033333E-02    1.146115E-01    1.660681E+03
    2    1.033333E-02    1.146115E-01    3.221131E+02
    3    1.033333E-02    1.146115E-01    5.603180E+01
    4    1.033333E-02    1.146115E-01    9.523808E+00
    1    1.050000E-02    1.149387E-01    1.659453E+03
    2    1.050000E-02    1.149387E-01    3.218750E+02
    3    1.050000E-02    1.149387E-01    5.599039E+01
    4    1.050000E-02    1.149387E-01    9.516768E+00
    1    1.066667E-02    1.152665E-01    1.658224E+03
    2    1.066667E-02    1.152665E-01    3.216367E+02
    3    1.066667E-02    1.152665E-01    5.594893E+01
    4    1.066667E-02    1.152665E-01    9.509721E+00
    1    1.083333E-02    1.155947E-01    1.656994E+03
    2    1.083333E-02    1.155947E-01    3.213981E+02
    3    1.083333E-02    1.155947E-01    5.590742E+01
    4    1.083333E-02    1.155947E-01    9.502667E+00
    1    1.100000E-02    1.159234E-01    1.655763E+03
    2    1.100000E-02    1.159234E-01    3.211592E+02
    3    1.100000E-02    1.159234E-01    5.586587E+01
    4    1.100000E-02    1.159234E-01    9.495605E+00
    1    1.116667E-02    1.162525E-01    1.654530E+03
    2    1.116667E-02    1.162525E-01    3.209201E+02
    3    1.116667E-02    1.162525E-01    5.582428E+01
    4    1.116667E-02    1.162525E-01    9.488536E+00
    1    1.133333E-02    1.165821E-01    1.653296E+03
    2    1.133333E-02    1.165821E-01    3.206808E+02
    3    1.133333E-02    1.165821E-01    5.578265E+01
    4    1.133333E-02    1.165821E-01    9.481459E+00
    1    1.150000E-02    1.169122E-01    1.652061E+03
    2    1.150000E-02    1.169122E-01    3.204412E+02
    3    1.150000E-02    1.169122E-01    5.574097E+01
    4    1.150000E-02    1.169122E-01    9.474375E+00
    1    1.166667E-02    1.172428E-01    1.650825E+03
    2    1.166667E-02    1.172428E-01    3.202014E+02
    3    1.166667E-02    1.172428E-01    5.569925E+01
    4    1.166667E-02    1.172428E-01    9.467284E+00
    1    1.183333E-02    1.175738E-01    1.649587E+03
    2    1.183333E-02    1.175738E-01    3.199613E+02
    3    1.183333E-02    1.175738E-01    5.565749E+01
    4    1.183333E-02    1.175738E-01    9.460185E+00
    1    1.200000E-02    1.179053E-01    1.648348E+03
    2    1.200000E-02    1.179053E-01    3.197209E+02
    3    1.200000E-02    1.179053E-01    5.561568E+01
    4    1.200000E-02    1.179053E-01    9.453079E+00
    1    1.216667E-02    1.182372E-01    1.647107E+03
    2    1.216667E-02    1.182372E-01    3.194804E+02
    3    1.216667E-02    1.182372E-01    5.557383E+01
    4    1.216667E-02    1.182372E-01    9.445966E+00
    1    1.233333E-02    1.185696E-01    1.645866E+03
    2    1.233333E-02    1.185696E-01    3.192395E+02
    3    1.233333E-02    1.185696E-01    5.553194E+01
    4    1.233333E-02    1.185696E-01    9.438845E+00
    1    1.250000E-02    1.189025E-01    1.644623E+03
    2    1.250000E-02    1.189025E-01    3.189984E+02
    3    1.250000E-02    1.189025E-01    5.549000E+01
    4    1.250000E-02    1.189025E-01    9.431717E+00
    1    1.266667E-02    1.192358E-01    1.643379E+03
    2    1.266667E-02    1.192358E-01    3.187571E+02
    3    1.266667E-02    1.192358E-01    5.544802E+01
    4    1.266667E-02    1.192358E-01    9.424582E+00
    1    1.283333E-02    1.195696E-01    1.642133E+03
    2    1.283333E-02    1.195696E-01    3.185155E+02
    3    1.283333E-02    1.195696E-01    5.540600E+01
    4    1.283333E-02    1.195696E-01    9.417440E+00
    1    1.300000E-02    1.199039E-01    1.640886E+03
    2    1.300000E-02    1.199039E-01    3.182737E+02
    3    1.300000E-02    1.199039E-01    5.536394E+01
    4    1.300000E-02    1.199039E-01    9.410290E+00
    1    1.316667E-02    1.202387E-01    1.639638E+03
    2    1.316667E-02    1.202387E-01    3.180317E+02
    3    1.316667E-02    1.202387E-01    5.532183E+01
    4    1.316667E-02    1.202387E-01    9.403133E+00
    1    1.333333E-02    1.205739E-01    1.638389E+03
    2    1.333333E-02    1.205739E-01    3.177893E+02
    3    1.333333E-02    1.205739E-01    5.527968E+01
    4    1.333333E-02    1.205739E-01    9.395969E+00
    1    1.350000E-02    1.209096E-01    1.637139E+03
    2    1.350000E-02    1.209096E-01    3.175468E+02
    3    1.350000E-02    1.209096E-01    5.523749E+01
    4    1.350000E-02    1.209096E-01    9.388797E+00
    1    1.366667E-02    1.212457E-01    1.635887E+03
    2    1.366667E-02    1.212457E-01    3.173040E+02
    3    1.366667E-02    1.212457E-01    5.519525E+01
    4    1.366667E-02    1.212457E-01    9.381618E+00
