# sin2theta_W    chi2
  0.097383       14.2960
  0.097547       14.2848
  0.097710       14.2737
  0.097873       14.2626
  0.098037       14.2514
  0.098200       14.2403
  0.098363       14.2291
  0.098527       14.2180
  0.098690       14.2068
  0.098853       14.1957
  0.099017       14.1846
  0.099180       14.1734
  0.099343       14.1622
  0.099507       14.1511
  0.099670       14.1399
  0.099833       14.1288
  0.099997       14.1176
  0.100160       14.1065
  0.100323       14.0953
  0.100487       14.0841
  0.100650       14.0730
  0.100813       14.0618
  0.100977       14.0506
  0.101140       14.0394
  0.101303       14.0283
  0.101467       14.0171
  0.101630       14.0059
  0.101793       13.9947
  0.101957       13.9836
  0.102120       13.9724
  0.102283       13.9612
  0.102447       13.9500
  0.102610       13.9388
  0.102773       13.9277
  0.102937       13.9165
  0.103100       13.9053
  0.103263       13.8941
  0.103427       13.8829
  0.103590       13.8717
  0.103753       13.8605
  0.103917       13.8493
  0.104080       13.8381
  0.104243       13.8269
  0.104407       13.8158
  0.104570       13.8046
  0.104733       13.7934
  0.104897       13.7822
  0.105060       13.7710
  0.105223       13.7598
  0.105387       13.7486
  0.105550       13.7374
  0.105713       13.7262
  0.105877       13.7150
  0.106040       13.7038
  0.106203       13.6926
  0.106367       13.6814
  0.106530       13.6702
  0.106693       13.6590
  0.106857       13.6478
  0.107020       13.6365
  0.107183       13.6253
  0.107347       13.6141
  0.107510       13.6029
  0.107673       13.5917
  0.107837       13.5805
  0.108000       13.5693
  0.108163       13.5581
  0.108327       13.5469
  0.108490       13.5357
  0.108653       13.5245
  0.108817       13.5133
  0.108980       13.5021
  0.109143       13.4909
  0.109307       13.4797
  0.109470       13.4685
  0.109633       13.4573
  0.109797       13.4461
  0.109960       13.4348
  0.110123       13.4236
  0.110287       13.4124
  0.110450       13.4012
  0.110613       13.3900
  0.110777       13.3788
  0.110940       13.3676
  0.111103       13.3564
  0.111267       13.3452
  0.111430       13.3340
  0.111593       13.3228
  0.111757       13.3116
  0.111920       13.3004
  0.112083       13.2892
  0.112247       13.2780
  0.112410       13.2668
  0.112573       13.2556
  0.112737       13.2444
  0.112900       13.2332
  0.113063       13.2220
  0.113227       13.2108
  0.113390       13.1996
  0.113553       13.1884
  0.113717       13.1773
  0.113880       13.1661
  0.114043       13.1549
  0.114207       13.1437
  0.114370       13.1325
  0.114533       13.1213
  0.114697       13.1101
  0.114860       13.0989
  0.115023       13.0878
  0.115187       13.0766
  0.115350       13.0654
  0.115513       13.0542
  0.115677       13.0430
  0.115840       13.0319
  0.116003       13.0207
  0.116167       13.0095
  0.116330       12.9984
  0.116493       12.9872
  0.116657       12.9760
  0.116820       12.9648
  0.116983       12.9537
  0.117147       12.9425
  0.117310       12.9314
  0.117473       12.9202
  0.117637       12.9090
  0.117800       12.8979
  0.117963       12.8867
  0.118127       12.8756
  0.118290       12.8644
  0.118453       12.8533
  0.118617       12.8421
  0.118780       12.8310
  0.118943       12.8198
  0.119107       12.8087
  0.119270       12.7976
  0.119433       12.7864
  0.119597       12.7753
  0.119760       12.7642
  0.119923       12.7530
  0.120087       12.7419
  0.120250       12.7308
  0.120413       12.7197
  0.120577       12.7085
  0.120740       12.6974
  0.120903       12.6863
  0.121067       12.6752
  0.121230       12.6641
  0.121393       12.6530
  0.121557       12.6419
  0.121720       12.6308
  0.121883       12.6197
  0.122047       12.6086
  0.122210       12.5975
  0.122373       12.5864
  0.122537       12.5753
  0.122700       12.5642
  0.122863       12.5531
  0.123027       12.5420
  0.123190       12.5310
  0.123353       12.5199
  0.123517       12.5088
  0.123680       12.4977
  0.123843       12.4867
  0.124007       12.4756
  0.124170       12.4645
  0.124333       12.4535
  0.124497       12.4424
  0.124660       12.4314
  0.124823       12.4203
  0.124987       12.4093
  0.125150       12.3983
  0.125313       12.3872
  0.125477       12.3762
  0.125640       12.3652
  0.125803       12.3541
  0.125967       12.3431
  0.126130       12.3321
  0.126293       12.3211
  0.126457       12.3101
  0.126620       12.2991
  0.126783       12.2880
  0.126947       12.2770
  0.127110       12.2660
  0.127273       12.2551
  0.127437       12.2441
  0.127600       12.2331
  0.127763       12.2221
  0.127927       12.2111
  0.128090       12.2001
  0.128253       12.1892
  0.128417       12.1782
  0.128580       12.1672
  0.128743       12.1563
  0.128907       12.1453
  0.129070       12.1344
  0.129233       12.1234
  0.129397       12.1125
  0.129560       12.1016
  0.129723       12.0906
  0.129887       12.0797
  0.130050       12.0688
  0.130213       12.0579
  0.130377       12.0469
  0.130540       12.0360
  0.130703       12.0251
  0.130867       12.0142
  0.131030       12.0033
  0.131193       11.9924
  0.131357       11.9815
  0.131520       11.9707
  0.131683       11.9598
  0.131847       11.9489
  0.132010       11.9380
  0.132173       11.9272
  0.132337       11.9163
  0.132500       11.9055
  0.132663       11.8946
  0.132827       11.8838
  0.132990       11.8729
  0.133153       11.8621
  0.133317       11.8513
  0.133480       11.8405
  0.133643       11.8296
  0.133807       11.8188
  0.133970       11.8080
  0.134133       11.7972
  0.134297       11.7864
  0.134460       11.7756
  0.134623       11.7648
  0.134787       11.7541
  0.134950       11.7433
  0.135113       11.7325
  0.135277       11.7217
  0.135440       11.7110
  0.135603       11.7002
  0.135767       11.6895
  0.135930       11.6787
  0.136093       11.6680
  0.136257       11.6573
  0.136420       11.6465
  0.136583       11.6358
  0.136747       11.6251
  0.136910       11.6144
  0.137073       11.6037
  0.137237       11.5930
  0.137400       11.5823
  0.137563       11.5716
  0.137727       11.5610
  0.137890       11.5503
  0.138053       11.5396
  0.138217       11.5290
  0.138380       11.5183
  0.138543       11.5077
  0.138707       11.4970
  0.138870       11.4864
  0.139033       11.4757
  0.139197       11.4651
  0.139360       11.4545
  0.139523       11.4439
  0.139687       11.4333
  0.139850       11.4227
  0.140013       11.4121
  0.140177       11.4015
  0.140340       11.3910
  0.140503       11.3804
  0.140667       11.3698
  0.140830       11.3593
  0.140993       11.3487
  0.141157       11.3382
  0.141320       11.3276
  0.141483       11.3171
  0.141647       11.3066
  0.141810       11.2961
  0.141973       11.2856
  0.142137       11.2751
  0.142300       11.2646
  0.142463       11.2541
  0.142627       11.2436
  0.142790       11.2331
  0.142953       11.2227
  0.143117       11.2122
  0.143280       11.2017
  0.143443       11.1913
  0.143607       11.1809
  0.143770       11.1704
  0.143933       11.1600
  0.144097       11.1496
  0.144260       11.1392
  0.144423       11.1288
  0.144587       11.1184
  0.144750       11.1080
  0.144913       11.0976
  0.145077       11.0873
  0.145240       11.0769
  0.145403       11.0666
  0.145567       11.0562
  0.145730       11.0459
  0.145893       11.0355
  0.146057       11.0252
  0.146220       11.0149
  0.146383       11.0046
  0.146547       10.9943
  0.146710       10.9840
  0.146873       10.9737
  0.147037       10.9634
  0.147200       10.9532
  0.147363       10.9429
  0.147527       10.9327
  0.147690       10.9224
  0.147853       10.9122
  0.148017       10.9020
  0.148180       10.8918
  0.148343       10.8815
  0.148507       10.8713
  0.148670       10.8612
  0.148833       10.8510
  0.148997       10.8408
  0.149160       10.8306
  0.149323       10.8205
  0.149487       10.8103
  0.149650       10.8002
  0.149813       10.7900
  0.149977       10.7799
  0.150140       10.7698
  0.150303       10.7597
  0.150467       10.7496
  0.150630       10.7395
  0.150793       10.7294
  0.150957       10.7194
  0.151120       10.7093
  0.151283       10.6992
  0.151447       10.6892
  0.151610       10.6792
  0.151773       10.6691
  0.151937       10.6591
  0.152100       10.6491
  0.152263       10.6391
  0.152427       10.6291
  0.152590       10.6192
  0.152753       10.6092
  0.152917       10.5992
  0.153080       10.5893
  0.153243       10.5793
  0.153407       10.5694
  0.153570       10.5595
  0.153733       10.5496
  0.153897       10.5397
  0.154060       10.5298
  0.154223       10.5199
  0.154387       10.5100
  0.154550       10.5001
  0.154713       10.4903
  0.154877       10.4804
  0.155040       10.4706
  0.155203       10.4608
  0.155367       10.4510
  0.155530       10.4411
  0.155693       10.4314
  0.155857       10.4216
  0.156020       10.4118
  0.156183       10.4020
  0.156347       10.3923
  0.156510       10.3825
  0.156673       10.3728
  0.156837       10.3631
  0.157000       10.3533
  0.157163       10.3436
  0.157327       10.3339
  0.157490       10.3243
  0.157653       10.3146
  0.157817       10.3049
  0.157980       10.2953
  0.158143       10.2856
  0.158307       10.2760
  0.158470       10.2664
  0.158633       10.2567
  0.158797       10.2471
  0.158960       10.2376
  0.159123       10.2280
  0.159287       10.2184
  0.159450       10.2088
  0.159613       10.1993
  0.159777       10.1898
  0.159940       10.1802
  0.160103       10.1707
  0.160267       10.1612
  0.160430       10.1517
  0.160593       10.1422
  0.160757       10.1328
  0.160920       10.1233
  0.161083       10.1139
  0.161247       10.1044
  0.161410       10.0950
  0.161573       10.0856
  0.161737       10.0762
  0.161900       10.0668
  0.162063       10.0574
  0.162227       10.0480
  0.162390       10.0387
  0.162553       10.0293
  0.162717       10.0200
  0.162880       10.0106
  0.163043       10.0013
  0.163207        9.9920
  0.163370        9.9827
  0.163533        9.9735
  0.163697        9.9642
  0.163860        9.9549
  0.164023        9.9457
  0.164187        9.9365
  0.164350        9.9272
  0.164513        9.9180
  0.164677        9.9088
  0.164840        9.8996
  0.165003        9.8905
  0.165167        9.8813
  0.165330        9.8722
  0.165493        9.8630
  0.165657        9.8539
  0.165820        9.8448
  0.165983        9.8357
  0.166147        9.8266
  0.166310        9.8175
  0.166473        9.8084
  0.166637        9.7994
  0.166800        9.7903
  0.166963        9.7813
  0.167127        9.7723
  0.167290        9.7633
  0.167453        9.7543
  0.167617        9.7453
  0.167780        9.7364
  0.167943        9.7274
  0.168107        9.7185
  0.168270        9.7095
  0.168433        9.7006
  0.168597        9.6917
  0.168760        9.6828
  0.168923        9.6739
  0.169087        9.6651
  0.169250        9.6562
  0.169413        9.6474
  0.169577        9.6385
  0.169740        9.6297
  0.169903        9.6209
  0.170067        9.6121
  0.170230        9.6034
  0.170393        9.5946
  0.170557        9.5858
  0.170720        9.5771
  0.170883        9.5684
  0.171047        9.5597
  0.171210        9.5510
  0.171373        9.5423
  0.171537        9.5336
  0.171700        9.5250
  0.171863        9.5163
  0.172027        9.5077
  0.172190        9.4991
  0.172353        9.4904
  0.172517        9.4819
  0.172680        9.4733
  0.172843        9.4647
  0.173007        9.4562
  0.173170        9.4476
  0.173333        9.4391
  0.173497        9.4306
  0.173660        9.4221
  0.173823        9.4136
  0.173987        9.4051
  0.174150        9.3967
  0.174313        9.3882
  0.174477        9.3798
  0.174640        9.3714
  0.174803        9.3630
  0.174967        9.3546
  0.175130        9.3462
  0.175293        9.3379
  0.175457        9.3295
  0.175620        9.3212
