# sin2theta_W   A(s)   chi2   dchi2
   3.533333E-02     1.689178E-01     1.751073E+01     4.898179E-04
   3.550000E-02     1.693151E-01     1.751074E+01     4.924639E-04
   3.566667E-02     1.697128E-01     1.751074E+01     4.951129E-04
   3.583333E-02     1.701110E-01     1.751074E+01     4.977651E-04
   3.600000E-02     1.705097E-01     1.751075E+01     5.004205E-04
   3.616667E-02     1.709088E-01     1.751075E+01     5.030791E-04
   3.633333E-02     1.713084E-01     1.751075E+01     5.057408E-04
   3.650000E-02     1.717085E-01     1.751075E+01     5.084057E-04
   3.666667E-02     1.721090E-01     1.751076E+01     5.110737E-04
   3.683333E-02     1.725100E-01     1.751076E+01     5.137449E-04
   3.700000E-02     1.729115E-01     1.751076E+01     5.164193E-04
   3.716667E-02     1.733135E-01     1.751076E+01     5.190969E-04
   3.733333E-02     1.737159E-01     1.751077E+01     5.217776E-04
   3.750000E-02     1.741187E-01     1.751077E+01     5.244614E-04
   3.766667E-02     1.745221E-01     1.751077E+01     5.271485E-04
   3.783333E-02     1.749259E-01     1.751077E+01     5.298387E-04
   3.800000E-02     1.753301E-01     1.751078E+01     5.325320E-04
   3.816667E-02     1.757349E-01     1.751078E+01     5.352286E-04
   3.833333E-02     1.761401E-01     1.751078E+01     5.379282E-04
   3.850000E-02     1.765458E-01     1.751079E+01     5.406311E-04
   3.866667E-02     1.769519E-01     1.751079E+01     5.433371E-04
   3.883333E-02     1.773585E-01     1.751079E+01     5.460463E-04
   3.900000E-02     1.777656E-01     1.751079E+01     5.487587E-04
   3.916667E-02     1.781731E-01     1.751080E+01     5.514742E-04
   3.933333E-02     1.785811E-01     1.751080E+01     5.541929E-04
   3.950000E-02     1.789896E-01     1.751080E+01     5.569148E-04
   3.966667E-02     1.793985E-01     1.751080E+01     5.596398E-04
   3.983333E-02     1.798079E-01     1.751081E+01     5.623680E-04
   4.000000E-02     1.802178E-01     1.751081E+01     5.650993E-04
   4.016667E-02     1.806281E-01     1.751081E+01     5.678339E-04
   4.033333E-02     1.810389E-01     1.751082E+01     5.705716E-04
   4.050000E-02     1.814502E-01     1.751082E+01     5.733124E-04
   4.066667E-02     1.818619E-01     1.751082E+01     5.760565E-04
   4.083333E-02     1.822741E-01     1.751082E+01     5.788037E-04
   4.100000E-02     1.826868E-01     1.751083E+01     5.815541E-04
   4.116667E-02     1.830999E-01     1.751083E+01     5.843076E-04
   4.133333E-02     1.835135E-01     1.751083E+01     5.870643E-04
   4.150000E-02     1.839276E-01     1.751083E+01     5.898242E-04
   4.166667E-02     1.843422E-01     1.751084E+01     5.925872E-04
   4.183333E-02     1.847572E-01     1.751084E+01     5.953535E-04
   4.200000E-02     1.851726E-01     1.751084E+01     5.981228E-04
   4.216667E-02     1.855886E-01     1.751085E+01     6.008954E-04
   4.233333E-02     1.860050E-01     1.751085E+01     6.036711E-04
   4.250000E-02     1.864218E-01     1.751085E+01     6.064500E-04
   4.266667E-02     1.868392E-01     1.751085E+01     6.092321E-04
   4.283333E-02     1.872570E-01     1.751086E+01     6.120174E-04
   4.300000E-02     1.876752E-01     1.751086E+01     6.148058E-04
   4.316667E-02     1.880940E-01     1.751086E+01     6.175974E-04
   4.333333E-02     1.885132E-01     1.751087E+01     6.203921E-04
   4.350000E-02     1.889329E-01     1.751087E+01     6.231900E-04
   4.366667E-02     1.893530E-01     1.751087E+01     6.259911E-04
   4.383333E-02     1.897736E-01     1.751087E+01     6.287954E-04
   4.400000E-02     1.901947E-01     1.751088E+01     6.316029E-04
   4.416667E-02     1.906162E-01     1.751088E+01     6.344135E-04
   4.433333E-02     1.910382E-01     1.751088E+01     6.372273E-04
   4.450000E-02     1.914607E-01     1.751088E+01     6.400442E-04
   4.466667E-02     1.918836E-01     1.751089E+01     6.428644E-04
   4.483333E-02     1.923070E-01     1.751089E+01     6.456877E-04
   4.500000E-02     1.927309E-01     1.751089E+01     6.485142E-04
   4.516667E-02     1.931552E-01     1.751090E+01     6.513438E-04
   4.533333E-02     1.935800E-01     1.751090E+01     6.541767E-04
   4.550000E-02     1.940053E-01     1.751090E+01     6.570127E-04
   4.566667E-02     1.944310E-01     1.751090E+01     6.598519E-04
   4.583333E-02     1.948572E-01     1.751091E+01     6.626942E-04
   4.600000E-02     1.952839E-01     1.751091E+01     6.655398E-04
   4.616667E-02     1.957110E-01     1.751091E+01     6.683885E-04
