# PE_center   Total   1SE   2SE   3SE   4SE   5SE   6SE   7SE
   437.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
   442.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
   447.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
   452.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
   457.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
   462.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
   467.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
   472.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
   477.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
   482.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
   487.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
   492.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
   497.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
   502.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
   507.5   0.379512E-11   0.152660-279   0.586001-114   0.373060E-61   0.157936E-36   0.335755E-23   0.151894E-15   0.379497E-11
