# Tabla NEST para RED-100
# Xe NR, rho=2.96 g/cm3, E_drift=218.0 V/cm, NEST 2.4.5
# F estimado con 20000 muestras de GetQuanta por energia
# T_nr[keV]   Qy[e-/keV]   F=Var(Ne)/<Ne>
# N_puntos = 4000
1.400950   7.057727   0.432572
1.403901   7.058283   0.429224
1.406852   7.058831   0.429680
1.409802   7.059371   0.434848
1.412753   7.059904   0.427842
1.415704   7.060430   0.425573
1.418655   7.060948   0.425310
1.421605   7.061458   0.435966
1.424556   7.061961   0.433462
1.427507   7.062457   0.426688
1.430458   7.062945   0.429437
1.433408   7.063427   0.432179
1.436359   7.063901   0.431969
1.439310   7.064368   0.421067
1.442261   7.064828   0.432190
1.445211   7.065281   0.425916
1.448162   7.065728   0.424784
1.451113   7.066167   0.430533
1.454064   7.066599   0.425645
1.457014   7.067025   0.435447
1.459965   7.067444   0.432676
1.462916   7.067857   0.428882
1.465866   7.068263   0.425219
1.468817   7.068662   0.426753
1.471768   7.069055   0.431710
1.474719   7.069441   0.434291
1.477669   7.069821   0.423253
1.480620   7.070195   0.432072
1.483571   7.070562   0.422556
1.486522   7.070923   0.421417
1.489472   7.071278   0.429310
1.492423   7.071627   0.427459
1.495374   7.071970   0.435368
1.498325   7.072306   0.418358
1.501275   7.072637   0.436006
1.504226   7.072961   0.425854
1.507177   7.073280   0.422413
1.510128   7.073593   0.426688
1.513078   7.073900   0.427093
1.516029   7.074201   0.433715
1.518980   7.074497   0.429371
1.521930   7.074786   0.426292
1.524881   7.075070   0.434870
1.527832   7.075349   0.428042
1.530783   7.075622   0.434079
1.533733   7.075889   0.424059
1.536684   7.076151   0.431155
1.539635   7.076408   0.436482
1.542586   7.076659   0.435624
1.545536   7.076905   0.422760
1.548487   7.077145   0.429764
1.551438   7.077380   0.430863
1.554389   7.077610   0.432011
1.557339   7.077835   0.428856
1.560290   7.078054   0.424380
1.563241   7.078269   0.430207
1.566192   7.078478   0.433892
1.569142   7.078682   0.429942
1.572093   7.078881   0.430835
1.575044   7.079076   0.433492
1.577994   7.079265   0.425515
1.580945   7.079449   0.420287
1.583896   7.079629   0.429067
1.586847   7.079804   0.432372
1.589797   7.079974   0.428382
1.592748   7.080139   0.428976
1.595699   7.080299   0.434422
1.598650   7.080455   0.433941
1.601600   7.080606   0.430370
1.604551   7.080752   0.425166
1.607502   7.080894   0.439271
1.610453   7.081032   0.425516
1.613403   7.081165   0.435277
1.616354   7.081293   0.434185
1.619305   7.081417   0.425007
1.622256   7.081536   0.432253
1.625206   7.081651   0.431889
1.628157   7.081762   0.436453
1.631108   7.081868   0.436990
1.634059   7.081970   0.423005
1.637009   7.082068   0.435576
1.639960   7.082162   0.435646
1.642911   7.082251   0.429456
1.645861   7.082336   0.439268
1.648812   7.082417   0.435110
1.651763   7.082494   0.435194
1.654714   7.082567   0.435016
1.657664   7.082636   0.422121
1.660615   7.082701   0.432702
1.663566   7.082761   0.425635
1.666517   7.082818   0.427223
1.669467   7.082871   0.434732
1.672418   7.082920   0.424525
1.675369   7.082965   0.438082
1.678320   7.083006   0.434015
1.681270   7.083044   0.440415
1.684221   7.083077   0.425338
1.687172   7.083107   0.427472
1.690123   7.083133   0.428360
1.693073   7.083155   0.429158
1.696024   7.083174   0.440269
1.698975   7.083189   0.440041
1.701925   7.083200   0.440266
1.704876   7.083208   0.436240
1.707827   7.083212   0.426965
1.710778   7.083212   0.433154
1.713728   7.083209   0.434831
1.716679   7.083203   0.435953
1.719630   7.083192   0.437646
1.722581   7.083179   0.438964
1.725531   7.083162   0.437003
1.728482   7.083141   0.432839
1.731433   7.083118   0.437262
1.734384   7.083090   0.438793
1.737334   7.083060   0.436623
1.740285   7.083026   0.435527
1.743236   7.082989   0.433701
1.746187   7.082948   0.430576
1.749137   7.082905   0.434011
1.752088   7.082858   0.429001
1.755039   7.082807   0.433350
1.757989   7.082754   0.440429
1.760940   7.082697   0.432408
1.763891   7.082638   0.434731
1.766842   7.082575   0.435209
1.769792   7.082509   0.431911
1.772743   7.082440   0.443693
1.775694   7.082368   0.437050
1.778645   7.082293   0.432272
1.781595   7.082214   0.432121
1.784546   7.082133   0.427513
1.787497   7.082049   0.440551
1.790448   7.081962   0.430864
1.793398   7.081872   0.439677
1.796349   7.081779   0.438209
1.799300   7.081683   0.435134
1.802251   7.081584   0.437747
1.805201   7.081482   0.433984
1.808152   7.081378   0.436439
1.811103   7.081270   0.436564
1.814054   7.081160   0.445381
1.817004   7.081047   0.434235
1.819955   7.080932   0.436674
1.822906   7.080813   0.431140
1.825856   7.080692   0.432974
1.828807   7.080568   0.429374
1.831758   7.080441   0.430472
1.834709   7.080312   0.435621
1.837659   7.080180   0.432486
1.840610   7.080046   0.436613
1.843561   7.079908   0.436951
1.846512   7.079769   0.436711
1.849462   7.079626   0.429480
1.852413   7.079481   0.429112
1.855364   7.079334   0.435443
1.858315   7.079184   0.440220
1.861265   7.079031   0.434680
1.864216   7.078876   0.434387
1.867167   7.078718   0.438069
1.870118   7.078558   0.433834
1.873068   7.078396   0.436131
1.876019   7.078231   0.437319
1.878970   7.078063   0.441254
