# Tabla NEST para RED-100 con ARGON  (Ar, retroceso ELECTRONICO)
# Uso: fondo beta de 39Ar (39Ar -> 39K + e- + nubar).  El espectro
#      beta y la actividad viven en chi2_bkg_nest.f90.
# Modelo: nestpy.LArNEST get_er_yields, E_drift=218.0 V/cm, rho=1.4
# F_er = 0.3 constante (get_fano_er no disponible) - sistematico
# E_er < 0.2 keV: EXTRAPOLACION DE MODELO (sin datos ER de LAr a esa energia)
# E_er[keV]   Qy_er[e-/keV]   F_er
# N_puntos = 4000
4.613061e-02   53.029854   0.300000
4.621505e-02   53.029817   0.300000
4.629964e-02   53.029779   0.300000
4.638439e-02   53.029741   0.300000
4.646929e-02   53.029703   0.300000
4.655435e-02   53.029665   0.300000
4.663956e-02   53.029627   0.300000
4.672494e-02   53.029589   0.300000
4.681046e-02   53.029550   0.300000
4.689615e-02   53.029512   0.300000
4.698199e-02   53.029473   0.300000
4.706798e-02   53.029434   0.300000
4.715414e-02   53.029395   0.300000
4.724045e-02   53.029356   0.300000
4.732692e-02   53.029317   0.300000
4.741355e-02   53.029277   0.300000
4.750034e-02   53.029238   0.300000
4.758728e-02   53.029198   0.300000
4.767439e-02   53.029158   0.300000
4.776166e-02   53.029118   0.300000
4.784908e-02   53.029078   0.300000
4.793666e-02   53.029037   0.300000
4.802441e-02   53.028997   0.300000
4.811231e-02   53.028956   0.300000
4.820038e-02   53.028915   0.300000
4.828861e-02   53.028874   0.300000
4.837700e-02   53.028833   0.300000
4.846555e-02   53.028792   0.300000
4.855426e-02   53.028750   0.300000
4.864314e-02   53.028709   0.300000
4.873218e-02   53.028667   0.300000
4.882138e-02   53.028625   0.300000
4.891074e-02   53.028583   0.300000
4.900027e-02   53.028541   0.300000
4.908996e-02   53.028498   0.300000
4.917982e-02   53.028456   0.300000
4.926984e-02   53.028413   0.300000
4.936002e-02   53.028370   0.300000
4.945037e-02   53.028327   0.300000
4.954089e-02   53.028284   0.300000
4.963157e-02   53.028241   0.300000
4.972242e-02   53.028197   0.300000
4.981343e-02   53.028153   0.300000
4.990461e-02   53.028110   0.300000
4.999596e-02   53.028065   0.300000
5.008747e-02   53.028021   0.300000
5.017916e-02   53.027977   0.300000
5.027100e-02   53.027932   0.300000
5.036302e-02   53.027888   0.300000
5.045521e-02   53.027843   0.300000
5.054756e-02   53.027798   0.300000
5.064009e-02   53.027752   0.300000
5.073278e-02   53.027707   0.300000
5.082564e-02   53.027661   0.300000
5.091868e-02   53.027616   0.300000
5.101188e-02   53.027570   0.300000
5.110525e-02   53.027524   0.300000
5.119880e-02   53.027477   0.300000
5.129252e-02   53.027431   0.300000
5.138640e-02   53.027384   0.300000
5.148046e-02   53.027337   0.300000
5.157469e-02   53.027290   0.300000
5.166910e-02   53.027243   0.300000
5.176368e-02   53.027196   0.300000
5.185843e-02   53.027148   0.300000
5.195335e-02   53.027100   0.300000
5.204845e-02   53.027053   0.300000
5.214372e-02   53.027004   0.300000
5.223916e-02   53.026956   0.300000
5.233478e-02   53.026908   0.300000
5.243058e-02   53.026859   0.300000
5.252655e-02   53.026810   0.300000
5.262270e-02   53.026761   0.300000
5.271902e-02   53.026712   0.300000
5.281552e-02   53.026662   0.300000
5.291219e-02   53.026613   0.300000
5.300905e-02   53.026563   0.300000
5.310608e-02   53.026513   0.300000
5.320328e-02   53.026462   0.300000
5.330067e-02   53.026412   0.300000
5.339823e-02   53.026361   0.300000
5.349597e-02   53.026310   0.300000
5.359389e-02   53.026259   0.300000
5.369199e-02   53.026208   0.300000
5.379027e-02   53.026157   0.300000
5.388873e-02   53.026105   0.300000
5.398737e-02   53.026053   0.300000
5.408619e-02   53.026001   0.300000
5.418520e-02   53.025949   0.300000
5.428438e-02   53.025896   0.300000
5.438374e-02   53.025844   0.300000
5.448329e-02   53.025791   0.300000
5.458302e-02   53.025738   0.300000
5.468293e-02   53.025684   0.300000
5.478302e-02   53.025631   0.300000
5.488330e-02   53.025577   0.300000
5.498376e-02   53.025523   0.300000
5.508440e-02   53.025469   0.300000
5.518523e-02   53.025415   0.300000
5.528624e-02   53.025360   0.300000
5.538744e-02   53.025305   0.300000
5.548882e-02   53.025250   0.300000
5.559039e-02   53.025195   0.300000
5.569215e-02   53.025139   0.300000
5.579409e-02   53.025083   0.300000
5.589622e-02   53.025028   0.300000
5.599853e-02   53.024971   0.300000
5.610103e-02   53.024915   0.300000
5.620372e-02   53.024858   0.300000
5.630660e-02   53.024801   0.300000
5.640966e-02   53.024744   0.300000
5.651292e-02   53.024687   0.300000
5.661636e-02   53.024629   0.300000
5.671999e-02   53.024572   0.300000
5.682382e-02   53.024514   0.300000
5.692783e-02   53.024455   0.300000
5.703203e-02   53.024397   0.300000
5.713642e-02   53.024338   0.300000
5.724101e-02   53.024279   0.300000
5.734579e-02   53.024220   0.300000
5.745075e-02   53.024160   0.300000
5.755591e-02   53.024101   0.300000
5.766127e-02   53.024041   0.300000
5.776681e-02   53.023981   0.300000
5.787255e-02   53.023920   0.300000
5.797848e-02   53.023859   0.300000
5.808461e-02   53.023798   0.300000
5.819093e-02   53.023737   0.300000
5.829744e-02   53.023676   0.300000
5.840415e-02   53.023614   0.300000
5.851106e-02   53.023552   0.300000
5.861816e-02   53.023490   0.300000
5.872545e-02   53.023427   0.300000
5.883295e-02   53.023365   0.300000
5.894064e-02   53.023302   0.300000
5.904852e-02   53.023238   0.300000
5.915661e-02   53.023175   0.300000
5.926489e-02   53.023111   0.300000
5.937337e-02   53.023047   0.300000
5.948205e-02   53.022983   0.300000
5.959093e-02   53.022918   0.300000
5.970001e-02   53.022853   0.300000
5.980928e-02   53.022788   0.300000
5.991876e-02   53.022723   0.300000
6.002844e-02   53.022657   0.300000
6.013832e-02   53.022591   0.300000
6.024839e-02   53.022525   0.300000
6.035868e-02   53.022459   0.300000
6.046916e-02   53.022392   0.300000
6.057984e-02   53.022325   0.300000
6.069073e-02   53.022257   0.300000
6.080182e-02   53.022190   0.300000
6.091312e-02   53.022122   0.300000
6.102461e-02   53.022054   0.300000
6.113631e-02   53.021985   0.300000
6.124822e-02   53.021916   0.300000
6.136033e-02   53.021847   0.300000
6.147265e-02   53.021778   0.300000
6.158517e-02   53.021708   0.300000
6.169790e-02   53.021638   0.300000
6.181083e-02   53.021568   0.300000
6.192397e-02   53.021498   0.300000
6.203732e-02   53.021427   0.300000
6.215087e-02   53.021356   0.300000
