# A   chi2_sinNuisance   chi2_conNuisance
  8.490849E+00    7.168535E+02    3.335722E+01
  8.520852E+00    7.225752E+02    3.338936E+01
  8.550855E+00    7.283198E+02    3.342128E+01
  8.580858E+00    7.340874E+02    3.345298E+01
  8.610861E+00    7.398779E+02    3.348447E+01
  8.640864E+00    7.456915E+02    3.351574E+01
  8.670867E+00    7.515280E+02    3.354680E+01
  8.700870E+00    7.573875E+02    3.357765E+01
  8.730873E+00    7.632700E+02    3.360829E+01
  8.760876E+00    7.691755E+02    3.363872E+01
  8.790879E+00    7.751039E+02    3.366896E+01
  8.820882E+00    7.810553E+02    3.369899E+01
  8.850885E+00    7.870297E+02    3.372882E+01
  8.880888E+00    7.930271E+02    3.375845E+01
  8.910891E+00    7.990474E+02    3.378789E+01
  8.940894E+00    8.050907E+02    3.381713E+01
  8.970897E+00    8.111571E+02    3.384618E+01
  9.000900E+00    8.172463E+02    3.387504E+01
  9.030903E+00    8.233586E+02    3.390372E+01
  9.060906E+00    8.294938E+02    3.393220E+01
  9.090909E+00    8.356520E+02    3.396050E+01
  9.120912E+00    8.418332E+02    3.398862E+01
  9.150915E+00    8.480374E+02    3.401656E+01
  9.180918E+00    8.542646E+02    3.404431E+01
  9.210921E+00    8.605147E+02    3.407189E+01
  9.240924E+00    8.667878E+02    3.409929E+01
  9.270927E+00    8.730839E+02    3.412652E+01
  9.300930E+00    8.794029E+02    3.415357E+01
  9.330933E+00    8.857450E+02    3.418045E+01
  9.360936E+00    8.921100E+02    3.420716E+01
  9.390939E+00    8.984980E+02    3.423370E+01
  9.420942E+00    9.049090E+02    3.426008E+01
  9.450945E+00    9.113429E+02    3.428629E+01
  9.480948E+00    9.177998E+02    3.431233E+01
  9.510951E+00    9.242797E+02    3.433822E+01
  9.540954E+00    9.307826E+02    3.436394E+01
  9.570957E+00    9.373085E+02    3.438950E+01
  9.600960E+00    9.438573E+02    3.441491E+01
  9.630963E+00    9.504291E+02    3.444016E+01
  9.660966E+00    9.570239E+02    3.446525E+01
  9.690969E+00    9.636417E+02    3.449019E+01
  9.720972E+00    9.702825E+02    3.451497E+01
  9.750975E+00    9.769462E+02    3.453961E+01
  9.780978E+00    9.836329E+02    3.456409E+01
  9.810981E+00    9.903426E+02    3.458843E+01
  9.840984E+00    9.970752E+02    3.461262E+01
  9.870987E+00    1.003831E+03    3.463666E+01
  9.900990E+00    1.010609E+03    3.466056E+01
  9.930993E+00    1.017411E+03    3.468432E+01
  9.960996E+00    1.024236E+03    3.470793E+01
  9.990999E+00    1.031083E+03    3.473141E+01
  1.002100E+01    1.037954E+03    3.475474E+01
  1.005101E+01    1.044847E+03    3.477793E+01
