# A   chi2(A)
  2.265227E+01    1.774815E+01
  2.268227E+01    1.774859E+01
  2.271227E+01    1.774902E+01
  2.274227E+01    1.774946E+01
  2.277228E+01    1.774989E+01
  2.280228E+01    1.775033E+01
  2.283228E+01    1.775076E+01
  2.286229E+01    1.775120E+01
  2.289229E+01    1.775163E+01
  2.292229E+01    1.775207E+01
  2.295230E+01    1.775251E+01
  2.298230E+01    1.775295E+01
  2.301230E+01    1.775338E+01
  2.304230E+01    1.775382E+01
  2.307231E+01    1.775426E+01
  2.310231E+01    1.775470E+01
  2.313231E+01    1.775514E+01
  2.316232E+01    1.775557E+01
  2.319232E+01    1.775601E+01
  2.322232E+01    1.775645E+01
  2.325233E+01    1.775689E+01
  2.328233E+01    1.775733E+01
  2.331233E+01    1.775777E+01
  2.334233E+01    1.775821E+01
  2.337234E+01    1.775866E+01
  2.340234E+01    1.775910E+01
  2.343234E+01    1.775954E+01
  2.346235E+01    1.775998E+01
  2.349235E+01    1.776042E+01
  2.352235E+01    1.776087E+01
  2.355236E+01    1.776131E+01
  2.358236E+01    1.776175E+01
  2.361236E+01    1.776220E+01
  2.364236E+01    1.776264E+01
  2.367237E+01    1.776308E+01
  2.370237E+01    1.776353E+01
  2.373237E+01    1.776397E+01
  2.376238E+01    1.776442E+01
  2.379238E+01    1.776486E+01
  2.382238E+01    1.776531E+01
  2.385239E+01    1.776576E+01
  2.388239E+01    1.776620E+01
  2.391239E+01    1.776665E+01
  2.394239E+01    1.776710E+01
  2.397240E+01    1.776754E+01
  2.400240E+01    1.776799E+01
  2.403240E+01    1.776844E+01
  2.406241E+01    1.776889E+01
  2.409241E+01    1.776934E+01
  2.412241E+01    1.776979E+01
  2.415242E+01    1.777024E+01
  2.418242E+01    1.777069E+01
  2.421242E+01    1.777114E+01
  2.424242E+01    1.777159E+01
  2.427243E+01    1.777204E+01
  2.430243E+01    1.777249E+01
  2.433243E+01    1.777294E+01
  2.436244E+01    1.777339E+01
  2.439244E+01    1.777384E+01
  2.442244E+01    1.777429E+01
  2.445245E+01    1.777475E+01
  2.448245E+01    1.777520E+01
  2.451245E+01    1.777565E+01
  2.454245E+01    1.777610E+01
  2.457246E+01    1.777656E+01
  2.460246E+01    1.777701E+01
